web-scraper-order,web-scraper-start-url,EventID,EventID-href,Organisation,Event Name,DayDate,Duration,Location,Cause1,Cause2,Cause3,Skills,Suitability,Min Age
1517464716-268,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6561934,YMCA of Singapore,Y Outing @ Blue Cross,"Sat, 03 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Feb 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 17 Mar 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 21 Apr 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 19 May 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 23 Jun 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 21 Jul 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 18 Aug 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 22 Sep 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 20 Oct 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 03 Nov 2018 8:30 AM",8:30 AM TO 2:30 PM (6.0 hours),"Jurong East
                  
                    201, JURONG EAST AVENUE 1 

                    Singapore 609791",Disability,null,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 17
1517464365-198,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595714,Singapore Cancer Society,Singapore Cancer Society Relay for Life 2018,"Sun, 11 Mar 2018",6:00 AM TO 10:00 AM (4.0 hours),"Kallang
                  
                    1 Stadium Drive 

                    Singapore 397629",Community,Health,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 16
1517464335-192,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6456934,YMCA of Singapore,ISP@Myanmar (Maubin) - Open Team (28 Apr - 6 May 2018),"Sat, 28 Apr 2018",7:00 AM TO 4:00 PM (201.0 hours),"Overseas
                  
                    Maubin 

                    Singapore 238824",Children & Youth,Community,Education,Skills required: NA,Suitable for: Open to All,null
1517464370-199,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595101,Singapore Cancer Society,Singapore Cancer Society Relay for Life 2018,"Sat, 10 Mar 2018",11:00 PM TO 6:00 AM (7.0 hours),"Kallang
                  
                    1 Stadium Drive 

                    Singapore 397629",Community,Health,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 16
1517464116-148,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6562755,Morning Star Community Services Ltd.,CareNights @ Bedok North,"Mon, 8 Jan 2018 to Fri, 31 Aug 2018",Few hours a week on weekday,"Bedok
                  
                    95, BEDOK NORTH AVENUE 4 

                    Singapore 460095",Children & Youth,Community,Families,"Skills required: Coaching & Training, Other Skills",Suitable for: Open to All,Min. age: 17
1517464505-226,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6682836,Malay Youth Literary Association,Join us as Can-Bearers on 24 Feb 2018,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Feb 2018 11:00 AM 
	                               	
	               		 
	                	Sat, 24 Feb 2018 2:00 PM",9:00 AM TO 2:00 PM (5.0 hours),"Bedok
                  
                    606 BEDOK RESERVOIR ROAD 

                    Singapore 470606",Children & Youth,Community,Elderly,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All, Family Friendly",null
1517464686-262,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6357351,Ang Mo Kio - Thye Hua Kwan Hospital,Bingo,"Mon, 05 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Mon, 19 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 05 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 19 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 02 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 16 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 30 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 07 May 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 21 May 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 04 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 18 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 02 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 16 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 30 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 06 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 20 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 03 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 17 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 08 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 22 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 05 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 19 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 03 Dec 2018 2:00 PM",2:00 PM TO 5:00 PM (3.0 hours),"Ang Mo Kio
                  
                    17, ANG MO KIO AVENUE 9, ANG MO KIO-THYE HUA KWAN HOSPITAL, WARD 3 PATIENT HUB, LEVEL 4 

                    Singapore 569766",Elderly,null,null,Skills required: NA,"Suitable for: First Timers, Seniors, Open to All",Min. age: 15
1517464621-249,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6349430,Ang Mo Kio - Thye Hua Kwan Hospital,(SGC) Arts Day,"Thu, 08 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 22 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 01 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 08 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 15 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 22 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 29 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 05 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 12 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 19 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 26 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 03 May 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 10 May 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 17 May 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 24 May 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 31 May 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 07 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 14 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 21 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 28 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 19 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 26 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 02 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 16 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 23 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 30 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 06 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 13 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 20 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 27 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 04 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 11 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 18 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 25 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 01 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 08 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 15 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 22 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 29 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 06 Dec 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 13 Dec 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 20 Dec 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 27 Dec 2018 2:00 PM",2:00 PM TO 5:00 PM (3.0 hours),"Ang Mo Kio
                  
                    17, ANG MO KIO AVENUE 9, ANG MO KIO-THYE HUA KWAN HOSPITAL, WARD 3 PATIENT HUB, LEVEL 4 

                    Singapore 569766",Elderly,null,null,null,null,null
1517464706-266,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6598735,Ground-Up Initiative (GUI),Landscape & Farm Maintenance @ Kampung Kampus,"Sun, 04 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Mon, 05 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Wed, 07 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Thu, 08 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Fri, 09 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Mon, 12 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Tue, 13 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Mon, 19 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Tue, 20 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Wed, 21 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Thu, 22 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Fri, 23 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Mon, 26 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Tue, 27 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 10:00 AM",10:00 AM TO 4:00 PM (6.0 hours),"Yishun
                  
                    91, LORONG CHENCHARU 

                    Singapore 769201",Community,Education,Environment,null,null,null
1517464566-238,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6405796,Migrant Workers' Centre,MWC Help Kiosk,"Wed, 14 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 21 Mar 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 25 Apr 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 30 May 2018 7:00 PM",7:00 PM TO 9:00 PM (2.0 hours),"Pioneer
                  
                    1, JALAN PAPAN, TERUSAN RECREATION CENTRE 

                    Singapore 619392",Social Service,null,null,null,null,null
1517464190-163,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595269,Singapore Anglican Community Services,Reading Club,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Families,Health,Skills required: NA,Suitable for: Open to All,null
1517464691-263,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6655580,Stroke Support Station Ltd.,R.E.A.L (Re-Learn and Enjoy Active Living) Programme,"Mon, 05 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Mon, 05 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Tue, 06 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Wed, 07 Feb 2018 9:30 AM 
	                               	
	               		 
	                	Wed, 07 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Fri, 09 Feb 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 12 Feb 2018 9:30 AM 
	                               	
	               		 
	                	Tue, 13 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Wed, 14 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Wed, 21 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Mon, 26 Feb 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 26 Feb 2018 1:30 PM",9:30 AM TO 12:30 PM (3.0 hours),"Bukit Merah
                  
                    20, LENGKOK BAHRU 

                    Singapore 159053",Community,Disability,Health,Skills required: NA,Suitable for: Open to All,Min. age: 18
1517464521-229,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6605402,The National Kidney Foundation,Fundraising @ Ban Siew San Kwan Im Tong,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sun, 25 Feb 2018 6:30 AM 
	                               	
	               		 
	                	Fri, 02 Mar 2018 6:30 AM 
	                               	
	               		 
	                	Sat, 03 Mar 2018 6:30 AM",6:30 AM TO 3:00 PM (8.5 hours),"Islandwide
                  
                    2 TELOK BLANGAH DRIVE 

                    Singapore 109256",Children & Youth,Community,Elderly,Skills required: Fundraising,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517464611-247,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6685107,SPD (formerly Society for the Physically Disabled),Packing of Goodie Bags,"Fri, 09 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Mon, 12 Feb 2018 9:00 AM",9:00 AM TO 4:00 PM (7.0 hours),"Outram
                  
                    2, PENG NGUAN STREET, SPD ABILITY CENTRE 

                    Singapore 168955",Disability,null,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 16
1517464093-144,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6681849,Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,"Mon, 8 Jan 2018 to Fri, 30 Nov 2018",Few hours a week on weekday,"Ang Mo Kio
                  
                    201 ANG MO KIO AVENUE 3 

                    Singapore 560201",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464125-150,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6563670,AMKFSC Community Services,Enriching our children - BASIC Student Care Services (Cheng San),"Tue, 2 Jan 2018 to Mon, 31 Dec 2018",Few hours a week on weekday,"Ang Mo Kio
                  
                    445 ANG MO KIO AVENUE 10 

                    Singapore 560445",Children & Youth,null,null,Skills required: NA,Suitable for: Open to All,Min. age: 16
1517464195-164,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595244,Singapore Anglican Community Services,Entertainment Session - Hobbies/Games,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",2 to 3 days per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Elderly,Families,Skills required: NA,Suitable for: Open to All,null
1517464721-269,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6353872,Muhammadiyah Welfare Home,MWH Flag Day 2018,"Sat, 03 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 03 Feb 2018 11:00 AM 
	                               	
	               		 
	                	Sat, 03 Feb 2018 2:00 PM",8:00 AM TO 12:00 PM (4.0 hours),"Islandwide
                  
                    Muhammadiyah Welfare Home (58 Bedok North St 3)More Reporting Centres will be announced at a later date. 

                    Singapore 469624",Children & Youth,Education,Families,Skills required: Fundraising,"Suitable for: Open to All, Family Friendly",null
1517464240-173,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6515121,Lions Befrienders Service Association,Befriend a Senior,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday or weekend,"Bukit Merah
                  
                    130 BUKIT MERAH VIEW 

                    Singapore 150130",Community,Elderly,Social Service,Skills required: No Specific Skills Required,"Suitable for: Open to All, Family Friendly",Min. age: 18
1517464330-191,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6682631,President's Challenge,Help us raise funds for PC at the Istana Open House,"Tue, 01 May 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Tue, 01 May 2018 12:00 PM",7:30 AM TO 1:00 PM (5.5 hours),"Islandwide
                  
                    ORCHARD ROAD, ISTANA 

                    Singapore 238823",Children & Youth,Disability,Elderly,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 15
1517463379-2,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6647317,Yong-en Care Centre,Tuition,"Sat, 27 Jan 2018 to Fri, 30 Nov 2018",1 day per week on weekday or weekend,"Outram
                  
                    1 TANJONG PAGAR ROAD 

                    Singapore 088437",Children & Youth,null,null,Skills required: Other Skills,Suitable for: Open to All,Min. age: 17
1517463389-4,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6657105,Care Community Services Society,Queenstown d'Klub Mentoring Programme (P3-P6),"Thu, 25 Jan 2018 to Sat, 26 Jan 2019",Few hours a week on weekend,"Queenstown
                  
                    310 MARGARET DRIVE 

                    Singapore 149303",Children & Youth,Community,Education,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464360-197,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6593910,Boys' Town,Boys' Town Flag Day 2018,"Wed, 14 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 14 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Wed, 14 Mar 2018 1:00 PM",9:00 AM TO 1:00 PM (4.0 hours),"Bukit Timah
                  
                    624, UPPER BUKIT TIMAH ROAD, BOYS' TOWN SINGAPORE 

                    Singapore 678212",Children & Youth,Community,Families,Skills required: Other Skills,Suitable for: Open to All,Min. age: 15
1517464145-154,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6563688,AMKFSC Community Services,Enriching our children - BASIC Student Care Services (Sengkang),"Tue, 2 Jan 2018 to Mon, 31 Dec 2018",Few hours a week on weekday,"Sengkang
                  
                    223A COMPASSVALE WALK 

                    Singapore 541223",Children & Youth,null,null,Skills required: NA,Suitable for: Open to All,Min. age: 16
1517464380-201,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6561039,Project CARE,Project CARE (Caring with Authenticity & Respect for Elders),"Sat, 10 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Mar 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 07 Apr 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 21 Apr 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 05 May 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 19 May 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 26 May 2018 8:00 AM",8:30 AM TO 12:30 PM (4.0 hours),"Bedok
                  
                    509B BEDOK NORTH STREET 3 

                    Singapore 462509",Community,Elderly,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464270-179,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6352735,National University Polyclinics,Healthy Cooking Demonstration (Bukit Batok Polyclinic),"Fri, 1 Dec 2017 to Thu, 31 May 2018",2 to 3 days per week on weekday,"Bukit Batok
                  
                    50 BUKIT BATOK WEST AVENUE 3 

                    Singapore 659164",Community,Education,Health,Skills required: Other Skills,Suitable for: Open to All,null
1517464726-270,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6675842,Young Women's Christian Association of Singapore,Empowering Kids (Post-project Empowering Mums 3),"Fri, 02 Feb 2018",6:30 PM TO 9:30 PM (3.0 hours),"Outram
                  
                    254 OUTRAM ROAD 

                    Singapore 169051",Children & Youth,Families,null,Skills required: Other Skills,Suitable for: Open to All,Min. age: 16
1517464200-165,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595221,Singapore Anglican Community Services,Simple Science Workshop,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Elderly,Families,Skills required: NA,Suitable for: Open to All,null
1517464676-260,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6608286,Me Too! Club (MINDS),Bake and Sing with Me Too! Club (Every Wednesday),"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 14 Feb 2018 10:30 AM",10:30 AM TO 1:00 PM (2.5 hours),"Paya Lebar
                  
                    11 JALAN UBI 

                    Singapore 409074",Community,Disability,Families,Skills required: NA,"Suitable for: First Timers, Open to All",null
1517464465-218,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6647355,Blessings in a Bag,Beyond Awesome 101,"Sun, 25 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sun, 22 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Sun, 20 May 2018 2:00 PM 
	                               	
	               		 
	                	Sun, 17 Jun 2018 2:00 PM",2:00 PM TO 3:30 PM (1.5 hour),"Outram
                  
                    315, OUTRAM ROAD 

                    Singapore 169074",Children & Youth,Community,Education,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",null
1517464135-152,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6563619,AMKFSC Community Services,Enriching our children - BASIC Student Care Services (Ang Mo Kio),"Tue, 2 Jan 2018 to Mon, 31 Dec 2018",Few hours a week on weekday,"Ang Mo Kio
                  
                    230 ANG MO KIO AVENUE 3 

                    Singapore 560230",Children & Youth,null,null,Skills required: NA,Suitable for: Open to All,Min. age: 16
1517464450-215,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6357445,Ang Mo Kio - Thye Hua Kwan Hospital,Hair Cutting,"Tue, 27 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Tue, 27 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 24 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 22 May 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 26 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 24 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 28 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 25 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 30 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 27 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Tue, 18 Dec 2018 2:00 PM",2:00 PM TO 5:00 PM (3.0 hours),"Ang Mo Kio
                  
                    17, ANG MO KIO AVENUE 9 ANG MO KIO-THYE HUA KWAN HOSPITAL, WARD 3 PATIENT HUB, LEVEL 4,Singapore 569766 

                    Singapore 569766",Elderly,null,null,Skills required: Other Skills,"Suitable for: First Timers, Seniors, Open to All",Min. age: 15
1517464266-178,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6470025,Volunteer Bike Patrol,Volunteers for shared-bike patrols,"Mon, 25 Dec 2017 to Mon, 31 Dec 2018",Flexible on weekday or weekend,"Islandwide
                  
                    Singapore 

                    Singapore 000000",Community,Environment,null,Skills required: NA,Suitable for: Open to All,Min. age: 15
1517464395-204,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6660726,Parkinson Society Singapore,Exercise Class Assistant,"Wed, 07 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 14 Mar 2018 12:00 PM 
	                               	
	               		 
	                	Wed, 21 Mar 2018 12:00 PM 
	                               	
	               		 
	                	Wed, 28 Mar 2018 12:00 PM",12:00 PM TO 3:00 PM (3.0 hours),"Bishan
                  
                    191, BISHAN STREET 13, HDB-BISHAN 

                    Singapore 570191",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 16
1517464121-149,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6562772,Morning Star Community Services Ltd.,CareNights @ Sengkang,"Wed, 3 Jan 2018 to Fri, 31 Aug 2018",Few hours a week on weekday,"Bedok
                  
                    95, BEDOK NORTH AVENUE 4 

                    Singapore 460095",Children & Youth,Community,Families,"Skills required: Coaching & Training, Other Skills",Suitable for: Open to All,Min. age: 17
1517464155-156,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6409905,Presbyterian Community Services,Community Befriending Programme,"Tue, 2 Jan 2018 to Tue, 31 Jul 2018",Flexible on weekday or weekend,"Bukit Timah
                  
                    21 TOH YI DRIVE 

                    Singapore 590021",Community,Elderly,Social Service,Skills required: NA,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 48
1517464300-185,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6254991,All Saints Home,Be an All Saints Home Volunteer!,"Sat, 17 Nov 2018",2:00 PM TO 4:30 PM (2.5 hours),"Tampines
                  
                    11 TAMPINES STREET 44 

                    Singapore 529123",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",null
1517464526-230,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6303344,Bright Vision Hospital,Mahjong Session,"Thu, 22 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 08 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Thu, 22 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Thu, 12 Apr 2018 3:00 PM 
	                               	
	               		 
	                	Thu, 26 Apr 2018 3:00 PM",3:00 PM TO 4:30 PM (1.5 hour),"Hougang
                  
                    5, LORONG NAPIRI, BRIGHT VISION HOSPITALLevel 2 Atrium 

                    Singapore 547530",Community,Elderly,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors",Min. age: 18
